#File_name	Redshift	Galaxy_Type
sc_M094Cl20a_Q1_027_01	0.827	4
sc_M124M1x1230_Q1_002_01	0.977	0
sc_M124M1x1230_Q1_003_01	0.975	1
sc_M124M1x1230_Q1_004_01	0.978	4
sc_M124M1x1230_Q1_005_01	0.980	2
sc_M124M1x1230_Q1_008_01	0.969	3
sc_M124M1x1230_Q1_010_01	0.974	4
sc_M124M1x1230_Q1_011_01	0.967	4
sc_M124M1x1230_Q1_012_01	0.977	3
sc_M124M1x1230_Q1_013_01	0.962	4
sc_M124M1x1230_Q1_014_01	0.977	4
sc_M124M1x1230_Q1_018_01	0.969	4
sc_M124M1x1230_Q1_022_01	0.967	0
sc_M124M1x1230_Q1_023_01	0.973	0
sc_M124M1x1230_Q2_003_01	0.969	4
sc_M124M1x1230_Q2_004_01	0.966	4
sc_M124M1x1230_Q2_005_01	0.969	4
sc_M124M1x1230_Q2_006_01	0.964	0
sc_M124M1x1230_Q2_010_01	0.963	2
sc_M124M1x1230_Q2_011_01	0.973	0
sc_M124M1x1230_Q2_015_01	0.974	0
sc_M124M1x1230_Q2_019_01	0.956	2
sc_M141M2x1230_Q1_014_01	0.979	0
sc_M141M2x1230_Q1_022_01	0.970	4
sc_M141M2x1230_Q1_023_01	0.963	4
sc_M141M2x1230_Q1_025_02	0.979	4
sc_M141M2x1230_Q1_028_01	0.972	4
sc_M141M2x1230_Q2_002_01	0.976	1
sc_M141M2x1230_Q2_005_01	0.973	4
sc_M141M2x1230_Q2_008_01	0.981	4
sc_M151M3x1230_Q1_005_01	0.981	0
sc_M151M3x1230_Q1_008_01	0.975	0
sc_M151M3x1230_Q1_011_01	0.979	0
sc_M151M3x1230_Q1_016_01	0.976	4
sc_M151M3x1230_Q1_021_01	0.978	3
sc_M151M3x1230_Q1_022_01	0.976	3
sc_M151M3x1230_Q2_007_01	0.975	0
sc_M227_Q1_004_01	0.963	4
sc_M227_Q1_005_01	0.975	4
sc_M227_Q1_007_01	0.975	4
sc_M227_Q1_011_01	0.970	4
sc_M227_Q1_013_01	0.963	4
sc_M227_Q1_021_01	0.979	4
sc_M227_Q1_024_01	0.970	4
sc_M227_Q1_024_02	0.965	1
sc_M227_Q2_001_01	0.975	4
sc_M227_Q2_002_01	0.977	4
sc_M227_Q2_007_01	0.959	1
sc_M227_Q2_014_01	0.981	4
sc_aver_15_2__25_01	0.978	4
sc_aver_16_1__04_02	0.976	2
